Beta,CILow,CIHigh,Model
-1.97339826336121,-2.25515740485624,-1.69163912186618,Mother herself preterm
-1.51259127498378,-2.00736221884856,-1.017820331119,Maternal sister born preterm
-2.08456191529048,-2.35862010069345,-1.81050372988752,Maternal sister delivering preterm
-0.689080881972768,-0.992515530653466,-0.385646233292071,Father himself preterm
