Parity,Odds,CILow,CIHigh,Obstetrical_history
Parity 1,-9.31572977032133,-9.61434138329146,-9.01711815735121,PTD first born
Parity 2,-7.26612095696075,-7.56217887807839,-6.97006303584312,PTD first born
Parity 3,-7.52111297898993,-8.22869946727122,-6.81352649070863,PTD first born
Parity 1,-9.2638636890157,-9.56473231282021,-8.96299506521118,Prev PTD
Parity 2,-11.2677615993767,-11.6331896380279,-10.9023335607255,Prev PTD
Parity 3,-13.3447896547841,-14.1270207035068,-12.5625586060614,Prev PTD
