Parity,Odds,CILow,CIHigh,Obstetrical_history
Parity 1,-8.34543731818853,-8.58036367382208,-8.11051096255499,PTD first born
Parity 2,-6.67079531311126,-6.89812701232329,-6.44346361389924,PTD first born
Parity 3,-6.6719030318595,-7.14905084847407,-6.19475521524494,PTD first born
Parity 1,-8.34452599809197,-8.58019620724732,-8.10885578893662,Prev PTD
Parity 2,-11.0470183867453,-11.3472240043379,-10.7468127691527,Prev PTD
Parity 3,-13.0368576087523,-13.6375878929758,-12.4361273245289,Prev PTD
